"","SKU.Code","Design.No.","Stock","Category","Size","Color"
"194","BL113-M","BL113",3,"BLOUSE","M","Maroon"
"195","BL113-S","BL113",11,"BLOUSE","S","Maroon"
"196","BL113-XL","BL113",8,"BLOUSE","XL","Maroon"
"197","BL113-XS","BL113",27,"BLOUSE","XS","Maroon"
"198","BL113-XXL","BL113",7,"BLOUSE","XXL","Maroon"
"199","BL0115-S","BL115",2,"BLOUSE","S","Olive"
"200","BTM002-L","BTM002",61,"PANT","L","White"
"201","BTM002-M","BTM002",40,"PANT","M","White"
"202","BTM002-S","BTM002",85,"PANT","S","White"
"203","BTM002-XL","BTM002",22,"PANT","XL","White"
"204","BTM002-XS","BTM002",158,"PANT","XS","White"
"205","BTM002-XXL","BTM002",158,"PANT","XXL","White"
"206","BTM002-XXXL","BTM002",194,"PANT","XXXL","White"
"207","BTM003-L","BTM003",32,"PANT","L","Maroon"
"208","BTM003-M","BTM003",25,"PANT","M","Maroon"
"209","BTM003-S","BTM003",35,"PANT","S","Maroon"
"210","BTM003-XL","BTM003",24,"PANT","XL","Maroon"
"211","BTM003-XS","BTM003",40,"PANT","XS","Maroon"
"212","BTM003-XXL","BTM003",4,"PANT","XXL","Maroon"
"213","BTM003-XXXL","BTM003",4,"PANT","XXXL","Maroon"
"214","BTM004-L","BTM004",1,"BOTTOM","L","White"
"215","BTM004-S","BTM004",2,"BOTTOM","S","White"
"216","BTM004-XL","BTM004",3,"BOTTOM","XL","White"
"217","BTM004-XS","BTM004",0,"BOTTOM","XS","White"
"218","BTM004-XXL","BTM004",2,"BOTTOM","XXL","White"
"219","BTM004-XXXL","BTM004",3,"BOTTOM","XXXL","White"
"220","BTM005-L","BTM005",398,"PANT","L","Black"
"221","BTM005-M","BTM005",250,"PANT","M","Black"
"222","BTM005-S","BTM005",347,"PANT","S","Black"
"223","BTM005-XL","BTM005",75,"PANT","XL","Black"
"224","BTM005-XS","BTM005",88,"PANT","XS","Black"
"225","BTM005-XXL","BTM005",21,"PANT","XXL","Black"
